split_type,split_id,n_train,n_test,mean_max_train_similarity,n,positive_fraction,brier,balanced_accuracy,roc_auc,average_precision
random,0,361,91,0.3830053065316713,91,0.4065934065934066,0.18142298747489569,0.7444944944944945,0.8023023023023023,0.7528737517429236
random,1,361,91,0.3927542353896085,91,0.4065934065934066,0.15752379400717986,0.7815315315315315,0.8418418418418419,0.8046604305392373
random,2,361,91,0.3970622713962935,91,0.4065934065934066,0.17259037311334374,0.7672672672672673,0.8213213213213213,0.6639895026878299
random,3,361,91,0.4041169368013957,91,0.4065934065934066,0.16112819352845892,0.7274774774774775,0.8408408408408409,0.8093759924151813
random,4,361,91,0.37381356571131336,91,0.4065934065934066,0.2336204298473481,0.6634134134134134,0.7582582582582583,0.6853136264377946
random,5,361,91,0.39951083425394535,91,0.4065934065934066,0.17264112731344708,0.7132132132132132,0.8188188188188189,0.803609701832473
random,6,361,91,0.39601042148655263,91,0.4065934065934066,0.18550559509394313,0.7054554554554555,0.8003003003003003,0.7584068323496653
random,7,361,91,0.39861222014825004,91,0.4065934065934066,0.14025878447560394,0.7815315315315315,0.8713713713713714,0.8551191611563314
random,8,361,91,0.3909527159216407,91,0.4065934065934066,0.16833411032351425,0.7444944944944945,0.8253253253253253,0.7149198868091551
random,9,361,91,0.38592587698075603,91,0.4065934065934066,0.1558718471191509,0.7772772772772774,0.8458458458458459,0.7922736686960932
random,10,361,91,0.4081293107257136,91,0.4065934065934066,0.14974658174518576,0.7865365365365365,0.8623623623623624,0.8214711313391447
random,11,361,91,0.44169510483582075,91,0.4065934065934066,0.14711225462069003,0.7907907907907907,0.8658658658658658,0.814213607981175
random,12,361,91,0.42363990651653266,91,0.4065934065934066,0.13074293716713375,0.795045045045045,0.8853853853853854,0.8532474978339268
random,13,361,91,0.4104366355647302,91,0.4065934065934066,0.15154648817249033,0.8220720720720721,0.8458458458458459,0.7377360836249183
random,14,361,91,0.3753682131399643,91,0.4065934065934066,0.19185448919992232,0.7437437437437437,0.8053053053053054,0.6874363200930789
random,15,361,91,0.41451414885145393,91,0.4065934065934066,0.1454865268113106,0.7907907907907907,0.8733733733733735,0.8372412797043827
random,16,361,91,0.41224696178547726,91,0.4065934065934066,0.18579781874758095,0.7082082082082082,0.8018018018018018,0.7788221386448062
random,17,361,91,0.3692559830108925,91,0.4065934065934066,0.1747134923293852,0.7232232232232232,0.8283283283283284,0.7419792127633091
random,18,361,91,0.3765057284412502,91,0.4065934065934066,0.18266811432057023,0.7174674674674675,0.8073073073073074,0.7590418594347625
