split_type,split_id,similarity_bin,n,positive_fraction,brier,balanced_accuracy,roc_auc,average_precision
random,7,0.30-0.50,25,0.4,0.13356530202994676,0.75,0.9533333333333334,0.9588235294117647
random,7,0.50-0.70,11,0.18181818181818182,0.07385857267834445,1.0,1.0,1.0
random,7,>=0.70,12,0.25,0.02567848402140903,0.8333333333333333,1.0,1.0
random,8,<0.30,43,0.5581395348837209,0.2802470787743932,0.5701754385964912,0.6118421052631579,0.6344543813980003
random,8,0.30-0.50,24,0.20833333333333334,0.08657681348814499,0.8473684210526315,0.9578947368421052,0.9111111111111111
random,8,0.50-0.70,15,0.4666666666666667,0.058311202722753266,0.9375,0.9821428571428571,0.982142857142857
random,8,>=0.70,9,0.1111111111111111,0.03502978750948582,0.5,1.0,1.0
random,9,<0.30,44,0.5,0.21881351413006966,0.7045454545454546,0.737603305785124,0.7265735298082143
random,9,0.30-0.50,24,0.4166666666666667,0.16095490014321776,0.7285714285714285,0.7999999999999999,0.8079673023055375
random,9,0.50-0.70,14,0.2857142857142857,0.048163040817706226,1.0,1.0,1.0
random,9,>=0.70,9,0.1111111111111111,0.002149254581411432,1.0,1.0,1.0
random,10,<0.30,34,0.5882352941176471,0.22350641764922607,0.7321428571428572,0.7321428571428572,0.7981107686158664
random,10,0.30-0.50,31,0.45161290322580644,0.15572907488064927,0.7331932773109244,0.8823529411764706,0.8644900942833273
random,10,0.50-0.70,14,0.07142857142857142,0.0755608071053914,0.5,0.8461538461538461,0.3333333333333333
random,10,>=0.70,12,0.16666666666666666,0.01185567649750606,1.0,1.0,1.0
random,11,<0.30,34,0.5,0.17146392021329024,0.7647058823529411,0.8166089965397925,0.8176054337819043
random,11,0.30-0.50,28,0.42857142857142855,0.19884278509146022,0.6979166666666667,0.7552083333333333,0.7603792735042737
random,11,0.50-0.70,16,0.3125,0.11550325509676745,0.8545454545454545,0.8909090909090909,0.6861904761904762
random,11,>=0.70,13,0.23076923076923078,0.010907063008844219,1.0,1.0,1.0
random,12,<0.30,33,0.5151515151515151,0.16153053315609697,0.7261029411764706,0.8455882352941176,0.8528540857471401
random,12,0.30-0.50,32,0.4375,0.16034216882833582,0.7658730158730158,0.8214285714285715,0.8343663550104972
random,12,0.50-0.70,14,0.35714285714285715,0.08352701008914777,0.8888888888888888,0.9777777777777777,0.9666666666666666
random,12,>=0.70,12,0.08333333333333333,0.02223101202549416,1.0,1.0,1.0
random,13,<0.30,36,0.5277777777777778,0.23140713208105337,0.7213622291021672,0.6749226006191951,0.6162127166784768
random,13,0.30-0.50,29,0.4482758620689655,0.15935066979497153,0.8293269230769231,0.8317307692307692,0.8376560761176144
random,13,0.50-0.70,18,0.2777777777777778,0.0441493545931568,0.9615384615384616,0.9846153846153846,0.9666666666666668
random,13,>=0.70,8,0.0,0.005526982755951224,1.0,,
random,14,<0.30,42,0.5238095238095238,0.25575499815830466,0.6431818181818182,0.6659090909090909,0.6410930803933197
random,14,0.30-0.50,29,0.3448275862068966,0.18942854593809527,0.7894736842105263,0.8842105263157894,0.7903860028860028
random,14,0.50-0.70,14,0.21428571428571427,0.08108507996431633,0.9545454545454546,0.9696969696969696,0.9166666666666665
random,14,>=0.70,6,0.3333333333333333,0.01473827381032688,1.0,1.0,1.0
random,15,<0.30,32,0.4375,0.21432394935761245,0.6904761904761905,0.7619047619047619,0.7599159254345013
random,15,0.30-0.50,31,0.4838709677419355,0.12995449061451295,0.8354166666666667,0.9041666666666667,0.9155307655307654
random,15,0.50-0.70,22,0.3181818181818182,0.105858709710704,0.8238095238095238,0.9523809523809524,0.9087301587301586
random,15,>=0.70,6,0.16666666666666666,0.003904456283410416,1.0,1.0,1.0
random,16,<0.30,36,0.5,0.214201802237408,0.6666666666666667,0.7623456790123457,0.7844689272822021
random,16,0.30-0.50,28,0.5,0.2574227400151535,0.6071428571428572,0.6275510204081634,0.7479035118320831
random,16,0.50-0.70,19,0.2631578947368421,0.10310747317470689,0.8285714285714285,0.8999999999999999,0.8509090909090908
random,16,>=0.70,8,0.0,0.003682239342800808,1.0,,
random,17,<0.30,40,0.5,0.2409557523737209,0.7,0.71,0.7054884893413944
random,17,0.30-0.50,31,0.3870967741935484,0.14785871290967267,0.6557017543859649,0.9166666666666666,0.8445198320198322
random,17,0.50-0.70,15,0.3333333333333333,0.10899996528369257,0.8500000000000001,0.8999999999999999,0.835
random,17,>=0.70,5,0.0,0.008415625515377285,1.0,,
random,18,<0.30,43,0.5581395348837209,0.21242387549980368,0.6491228070175439,0.756578947368421,0.8105718689088701
random,18,0.30-0.50,27,0.37037037037037035,0.18545575781084797,0.7911764705882353,0.788235294117647,0.7227777777777777
random,18,0.50-0.70,16,0.1875,0.15175395372349393,0.6794871794871795,0.8974358974358974,0.8095238095238095
random,18,>=0.70,5,0.0,0.010640607242295042,1.0,,
random,19,<0.30,37,0.4864864864864865,0.17968083759551717,0.7587719298245614,0.8216374269005848,0.7892679729302536
random,19,0.30-0.50,32,0.40625,0.10933601658250305,0.8582995951417004,0.8987854251012145,0.9126902509255451
random,19,0.50-0.70,16,0.25,0.09168097656684494,0.8333333333333333,0.9375,0.8541666666666666
random,19,>=0.70,6,0.3333333333333333,0.03822861653154839,1.0,1.0,1.0
random,20,<0.30,35,0.5428571428571428,0.20907876307159304,0.7072368421052632,0.7368421052631579,0.7729303688325437
random,20,0.30-0.50,30,0.43333333333333335,0.24679753406480984,0.5633484162895928,0.6108597285067874,0.6370339467488009
random,20,0.50-0.70,15,0.3333333333333333,0.0406356081280695,1.0,1.0,1.0
random,20,>=0.70,11,0.0,0.0215041812317367,1.0,,
random,21,<0.30,37,0.5405405405405406,0.19002459352342335,0.7279411764705883,0.7705882352941176,0.7885541972252499
random,21,0.30-0.50,31,0.41935483870967744,0.18147959322669974,0.7521367521367521,0.7991452991452992,0.8040654031958379
random,21,0.50-0.70,17,0.17647058823529413,0.12770054114588225,0.8928571428571428,0.9523809523809524,0.8666666666666667
random,21,>=0.70,6,0.16666666666666666,0.01260357098267288,1.0,1.0,1.0
random,22,<0.30,40,0.45,0.22077934824897777,0.7525252525252526,0.7121212121212122,0.7488798517500788
random,22,0.30-0.50,27,0.6296296296296297,0.26133973082649287,0.6147058823529412,0.7764705882352941,0.8473876039984218
random,22,0.50-0.70,15,0.06666666666666667,0.03996954044439942,0.9642857142857143,1.0,1.0
random,22,>=0.70,9,0.1111111111111111,0.03637852904617363,0.5,1.0,1.0
random,23,<0.30,39,0.5128205128205128,0.19238415820786442,0.7184210526315788,0.7894736842105263,0.8478120015948967
random,23,0.30-0.50,28,0.32142857142857145,0.13436046098668022,0.8070175438596491,0.8654970760233919,0.7939153439153441
