similarity_bin,n,contradiction_rate,same_scaffold_rate,mean_similarity
"[0.0, 0.2)",27,0.4444444444444444,0.0,0.175004227412162
"[0.2, 0.3)",58,0.22413793103448276,0.06896551724137931,0.2438495002433698
"[0.3, 0.4)",29,0.3793103448275862,0.1724137931034483,0.33912899457762896
"[0.4, 0.5)",16,0.125,0.4375,0.4424514240516975
"[0.5, 0.6)",7,0.0,0.2857142857142857,0.5366365607826709
"[0.6, 0.7)",13,0.0,0.3076923076923077,0.6808251680090813
"[0.7, 0.8)",6,0.0,0.6666666666666666,0.7177733157931178
"[0.8, 0.9)",0,,,
"[0.9, 1.0)",4,0.0,1.0,0.961038961038961
